time_stamp,elapsed_time,tempC_probe,tempF_probe,tempC_amb,tempF_amb,tempC_humidity,,,
['07/24/19 19:40:57',1.858,20.562,69.125,22,71.6, 63.0],,,
['07/24/19 19:41:07',11.938,20.562,69.125,22,71.6, 63.0],,,
['07/24/19 19:41:17',22.018,20.625,69.125,0,32, 0],,,
['07/24/19 19:41:28',32.098,20.625,69.125,0,32, 0],,,
['07/24/19 19:41:38',42.178,20.625,69.125,22,71.6, 59.0],,, 
['07/24/19 19:41:48',52.258,20.625,69.125,0,32, 0],,, 
['07/24/19 19:41:58',62.338,20.562,69.0116,0,32, 0],,,
['07/24/19 19:42:08',72.418,20.5,69.0116,21,69.8, 40.0],,,
['07/24/19 19:42:18',82.498,20.5,68.9,21,69.8, 20.0],,,
['07/24/19 19:42:28',92.578,20.437,68.7866,0,32, 0],,,
['07/24/19 19:42:38',102.658,20.375,68.675,19,66.2, 18.0],,,
['07/24/19 19:42:48',112.738,20.25,68.45,0,32, 0],,,
['07/24/19 19:42:58',122.818,20.187,68.3366,0,32, 0],,,
['07/24/19 19:43:08',132.898,20.062,68.1116,0,32, 0],,,
['07/24/19 19:43:18',142.978,20,68,13,55.4, 21.0],,,
['07/24/19 19:43:28',153.058,19.875,67.775,12,53.6, 22.0],,,
['07/24/19 19:43:39',163.138,19.812,67.6616,11,51.8, 22.0],,,
['07/24/19 19:43:49',173.218,19.687,67.55,10,50, 23.0],,,
['07/24/19 19:43:59',183.298,19.625,67.325,8,46.4, 24.0],,,
['07/24/19 19:44:09',193.378,19.562,67.2116,7,44.6, 24.0],,,
['07/24/19 19:44:19',203.458,19.5,67.1,6,42.8, 25.0],,,
['07/24/19 19:44:29',213.538,19.375,66.875,5,41, 25.0],,,
['07/24/19 19:44:39',223.618,19.312,66.7616,4,39.2, 26.0],,,
['07/24/19 19:44:49',233.698,19.25,66.65,0,32, 0],,,
['07/24/19 19:44:59',243.778,19.125,66.425,3,37.4, 26.0],,,
['07/24/19 19:45:09',253.858,19.062,66.3116,2,35.6, 27.0],,,
['07/24/19 19:45:19',263.938,18.937,66.0866,1,33.8, 27.0],,,
['07/24/19 19:45:29',274.018,18.875,65.975,1,33.8, 27.0],,,
['07/24/19 19:45:40',284.098,18.812,65.8616,1,33.8, 27.0],,,
['07/24/19 19:45:50',294.178,18.687,65.6366,1,33.8, 27.0],,,
['07/24/19 19:46:00',304.258,18.625,65.525,1,33.8, 27.0],,,
['07/24/19 19:46:10',314.338,18.562,65.4116,0,32, 0],,,
['07/24/19 19:46:20',324.418,18.5,65.3,0,32, 0],,,
['07/24/19 19:46:30',334.498,18.437,65.075,0,32, 0],,,
['07/24/19 19:46:40',344.578,18.312,64.9616,1,33.8, 27.0],,,
['07/24/19 19:46:50',354.658,18.25,64.85,1,33.8, 27.0],,,
['07/24/19 19:47:00',364.738,18.187,64.7366,1,33.8, 27.0],,,
['07/24/19 19:47:10',374.818,18.125,64.625,0,32, 0],,,
['07/24/19 19:47:20',384.898,18.062,64.5116,0,32, 0],,,
['07/24/19 19:47:30',394.978,18,64.4,1,33.8, 27.0],,,
['07/24/19 19:47:40',405.058,17.875,64.175,0,32, 0],,,
['07/24/19 19:47:51',415.138,17.812,64.0616,1,33.8, 27.0],,,
['07/24/19 19:48:01',425.218,17.75,63.95,1,33.8, 27.0],,,
['07/24/19 19:48:11',435.298,17.625,63.8366,1,33.8, 27.0],,,
['07/24/19 19:48:21',445.378,17.562,63.6116,1,33.8, 27.0],,,
