time_stamp,elapsed_time,tempC_probe,tempF_probe,tempC_amb,tempF_amb,tempC_humidity
['07/24/19 20:14:04',1.83,7.437,45.5,1,33.8, 28.0]
['07/24/19 20:14:14',11.91,7.437,45.3866,1,33.8, 28.0]
['07/24/19 20:14:24',21.99,7.375,45.275,1,33.8, 28.0]
['07/24/19 20:14:34',32.07,7.312,45.1616,1,33.8, 28.0]
['07/24/19 20:14:45',42.15,7.25,45.05,1,33.8, 28.0]
['07/24/19 20:14:55',52.23,7.187,44.9366,1,33.8, 28.0]
['07/24/19 20:15:05',62.31,7.125,44.9366,1,33.8, 28.0]
['07/24/19 20:15:15',72.39,7.062,44.7116,1,33.8, 28.0]
['07/24/19 20:15:25',82.47,7.062,44.7116,1,33.8, 28.0]
['07/24/19 20:15:35',92.55,6.937,44.6,1,33.8, 28.0]
['07/24/19 20:15:45',102.63,6.875,44.375,1,33.8, 28.0]
['07/24/19 20:15:55',112.71,6.875,44.375,1,33.8, 28.0]
['07/24/19 20:16:05',122.79,6.812,44.2616,1,33.8, 28.0]
['07/24/19 20:16:15',132.87,6.75,44.15,1,33.8, 28.0]
['07/24/19 20:16:25',142.95,6.687,44.0366,0,32, 0]
['07/24/19 20:16:35',153.03,6.625,43.925,0,32, 0]
['07/24/19 20:16:46',163.11,6.562,43.8116,1,33.8, 28.0]
['07/24/19 20:16:56',173.19,6.5,43.7,0,32, 0]
['07/24/19 20:17:06',183.27,6.437,43.5866,1,33.8, 28.0]
['07/24/19 20:17:16',193.35,6.437,43.5866,1,33.8, 28.0]
['07/24/19 20:17:26',203.43,6.375,43.475,1,33.8, 28.0]
['07/24/19 20:17:36',213.51,6.312,43.3616,1,33.8, 28.0]
['07/24/19 20:17:46',223.59,6.25,43.25,1,33.8, 28.0]
['07/24/19 20:17:56',233.67,6.187,43.1366,1,33.8, 28.0]
['07/24/19 20:18:06',243.75,6.125,43.025,1,33.8, 28.0]
['07/24/19 20:18:16',253.83,6.062,42.9116,1,33.8, 28.0]
['07/24/19 20:18:26',263.91,6,42.9116,1,33.8, 28.0]
['07/24/19 20:18:36',273.99,6,42.8,1,33.8, 28.0]
['07/24/19 20:18:46',284.07,5.875,42.6866,1,33.8, 28.0]
['07/24/19 20:18:57',294.15,5.875,42.575,1,33.8, 28.0]
['07/24/19 20:19:07',304.23,5.812,42.4616,1,33.8, 28.0]
['07/24/19 20:19:17',314.31,5.75,42.35,1,33.8, 28.0]
['07/24/19 20:19:27',324.39,5.687,42.2366,0,32, 0]
['07/24/19 20:19:37',334.47,5.625,42.2366,1,33.8, 28.0]
['07/24/19 20:19:47',344.55,5.562,42.125,0,32, 0]
['07/24/19 20:19:57',354.63,5.562,42.0116,0,32, 0]
['07/24/19 20:20:07',364.71,5.5,41.9,0,32, 0]
['07/24/19 20:20:17',374.79,5.437,41.7866,1,33.8, 28.0]
['07/24/19 20:20:27',384.87,5.437,41.675,1,33.8, 28.0]
['07/24/19 20:20:37',394.95,5.375,41.5616,1,33.8, 28.0]
['07/24/19 20:20:47',405.03,5.312,41.5616,1,33.8, 28.0]
['07/24/19 20:20:58',415.11,5.25,41.45,1,33.8, 28.0]
['07/24/19 20:21:08',425.19,5.187,41.3366,1,33.8, 28.0]
['07/24/19 20:21:18',435.27,5.125,41.225,1,33.8, 28.0]
['07/24/19 20:21:28',445.35,5.125,41.1116,1,33.8, 28.0]
['07/24/19 20:21:38',455.43,5,41.1116,1,33.8, 28.0]
['07/24/19 20:21:48',465.51,5,41,1,33.8, 28.0]
['07/24/19 20:21:58',475.59,4.937,40.8866,1,33.8, 28.0]
['07/24/19 20:22:08',485.67,4.875,40.775,1,33.8, 28.0]
['07/24/19 20:22:18',495.75,4.812,40.775,1,33.8, 28.0]
['07/24/19 20:22:28',505.83,4.812,40.6616,0,32, 0]
['07/24/19 20:22:38',515.91,4.75,40.55,0,32, 0]
['07/24/19 20:22:48',525.99,4.687,40.4366,0,32, 0]
['07/24/19 20:22:58',536.07,4.625,40.325,0,32, 0]
['07/24/19 20:23:09',546.15,4.562,40.2116,1,33.8, 28.0]
['07/24/19 20:23:19',556.31,4.5,40.2116,1,33.8, 28.0]
['07/24/19 20:23:29',566.31,4.5,40.1,1,33.8, 28.0]
['07/24/19 20:23:39',576.39,4.437,39.9866,1,33.8, 28.0]
['07/24/19 20:23:49',586.47,4.375,39.875,1,33.8, 28.0]
['07/24/19 20:23:59',596.55,4.312,39.875,1,33.8, 28.0]
['07/24/19 20:24:09',606.63,4.312,39.7616,1,33.8, 28.0]
['07/24/19 20:24:19',616.71,4.25,39.65,1,33.8, 28.0]
['07/24/19 20:24:29',626.79,4.187,39.5366,1,33.8, 28.0]
['07/24/19 20:24:39',636.87,4.125,39.425,1,33.8, 28.0]
['07/24/19 20:24:49',646.95,4.062,39.425,1,33.8, 28.0]
['07/24/19 20:24:59',657.03,4.062,39.2,1,33.8, 28.0]
['07/24/19 20:25:10',667.11,4,39.2,1,33.8, 28.0]
['07/24/19 20:25:20',677.19,3.937,39.0866,1,33.8, 28.0]
['07/24/19 20:25:30',687.27,3.875,38.975,1,33.8, 28.0]
['07/24/19 20:25:40',697.35,3.812,38.8616,0,32, 0]
['07/24/19 20:25:50',707.43,3.812,38.8616,0,32, 0]
['07/24/19 20:26:00',717.51,3.75,38.75,0,32, 0]
