tempF_amb,humidity,elapsed_time,tempC_amb,tempC_probe,tempF_probe,time_stamp
73.4,59.0,1.984,23.0,21.25,70.25,08/11/19 11:11:16
32.0,0,11.984,0,21.25,70.25,08/11/19 11:11:26
32.0,0,21.984,0,21.25,70.25,08/11/19 11:11:36
75.2,58.0,31.984,24.0,21.25,70.25,08/11/19 11:11:46
73.4,58.0,41.984,23.0,21.187,70.25,08/11/19 11:11:56
73.4,58.0,51.984,23.0,21.25,70.25,08/11/19 11:12:06
75.2,58.0,61.984,24.0,21.25,70.25,08/11/19 11:12:16
75.2,58.0,71.984,24.0,21.25,70.25,08/11/19 11:12:26
32.0,0,81.984,0,21.25,70.25,08/11/19 11:12:36
32.0,0,91.984,0,21.25,70.25,08/11/19 11:12:46
75.2,57.0,101.984,24.0,21.25,70.25,08/11/19 11:12:56
73.4,55.0,111.984,23.0,21.187,70.137,08/11/19 11:13:06
75.2,46.0,121.984,24.0,21.125,70.025,08/11/19 11:13:16
71.6,48.0,131.984,22.0,21.125,70.025,08/11/19 11:13:26
69.80000000000001,39.0,141.984,21.0,21.125,70.025,08/11/19 11:13:36
32.0,0,151.984,0,21.125,70.025,08/11/19 11:13:46
64.4,22.0,161.984,18.0,21.062,69.912,08/11/19 11:13:56
32.0,0,171.984,0,21.0,69.8,08/11/19 11:14:06
60.8,20.0,181.984,16.0,20.937,69.687,08/11/19 11:14:16
59.0,20.0,191.984,15.0,20.875,69.687,08/11/19 11:14:26
57.2,21.0,201.984,14.0,20.812,69.462,08/11/19 11:14:36
55.400000000000006,21.0,211.984,13.0,20.75,69.35,08/11/19 11:14:46
53.6,22.0,221.984,12.0,20.625,69.237,08/11/19 11:14:56
32.0,0,231.984,0,20.562,69.012,08/11/19 11:15:06
32.0,0,241.984,0,20.5,68.9,08/11/19 11:15:16
32.0,0,251.984,0,20.437,68.787,08/11/19 11:15:26
48.2,23.0,261.984,9.0,20.375,68.675,08/11/19 11:15:36
46.4,24.0,271.984,8.0,20.25,68.562,08/11/19 11:15:46
46.4,24.0,282.064,8.0,20.25,68.45,08/11/19 11:15:56
44.6,24.0,292.064,7.0,20.187,68.337,08/11/19 11:16:06
32.0,0,301.984,0,20.125,68.225,08/11/19 11:16:16
42.8,25.0,312.064,6.0,20.062,68.112,08/11/19 11:16:26
32.0,0,322.064,0,20.0,68.0,08/11/19 11:16:36
32.0,0,332.064,0,19.937,67.887,08/11/19 11:16:46
32.0,0,342.064,0,19.875,67.775,08/11/19 11:16:56
39.2,26.0,352.064,4.0,19.812,67.662,08/11/19 11:17:06
39.2,26.0,362.064,4.0,19.75,67.55,08/11/19 11:17:16
39.2,26.0,372.064,4.0,19.625,67.325,08/11/19 11:17:26
39.2,26.0,382.064,4.0,19.562,67.212,08/11/19 11:17:36
32.0,0,392.064,0,19.5,66.987,08/11/19 11:17:46
32.0,0,402.064,0,19.375,66.875,08/11/19 11:17:56
32.0,0,412.064,0,19.312,66.762,08/11/19 11:18:06
35.6,27.0,422.064,2.0,19.25,66.65,08/11/19 11:18:16
35.6,27.0,432.064,2.0,19.187,66.537,08/11/19 11:18:26
35.6,27.0,442.064,2.0,19.062,66.425,08/11/19 11:18:36
33.8,27.0,452.064,1.0,19.0,66.2,08/11/19 11:18:46
33.8,27.0,462.064,1.0,18.937,66.087,08/11/19 11:18:56
32.0,0,472.064,0,18.812,65.862,08/11/19 11:19:06
32.0,0,482.064,0,18.75,65.75,08/11/19 11:19:16
32.0,0,492.064,0,18.687,65.637,08/11/19 11:19:26
33.8,27.0,502.064,1.0,18.625,65.525,08/11/19 11:19:36
