tempF_amb,humidity,elapsed_time,tempC_amb,tempC_probe,tempF_probe,time_stamp
33.8,27.0,3.391,1.0,1.875,35.375,08/11/19 12:07:14
41.0,81.0,13.39,5.0,1.937,35.487,08/11/19 12:07:24
41.0,83.0,23.39,5.0,2.0,35.6,08/11/19 12:07:34
32.0,0,33.391,0,2.0,35.712,08/11/19 12:07:44
44.6,92.0,43.39,7.0,1.312,34.25,08/11/19 12:07:54
44.6,92.0,53.39,7.0,0.875,33.575,08/11/19 12:08:04
48.2,95.0,63.47,9.0,0.687,33.237,08/11/19 12:08:14
50.0,95.0,73.47,10.0,0.625,33.125,08/11/19 12:08:24
50.0,95.0,83.471,10.0,0.562,33.125,08/11/19 12:08:34
44.6,95.0,93.47,7.0,0.625,33.125,08/11/19 12:08:44
32.0,0,103.47,0,0.625,33.125,08/11/19 12:08:54
32.0,0,113.47,0,0.687,33.237,08/11/19 12:09:04
32.0,0,123.471,0,0.687,33.35,08/11/19 12:09:14
32.0,0,133.471,0,0.75,33.35,08/11/19 12:09:24
