elapsed_time,tempC_amb,elapsed_time_formatted,tempF_amb,tempC_probe,tempF_probe,time_stamp,humidity
1,23.0,0:00:01,73.4,21.437,70.5866,08/12/19 19:25:55,49.0
11,23.0,0:00:11,73.4,21.437,70.5866,08/12/19 19:26:05,49.0
21,23.0,0:00:21,73.4,21.437,70.5866,08/12/19 19:26:15,49.0
31,23.0,0:00:31,73.4,21.437,70.5866,08/12/19 19:26:25,49.0
41,23.0,0:00:41,73.4,21.437,70.5866,08/12/19 19:26:35,49.0
51,23.0,0:00:51,73.4,21.437,70.7,08/12/19 19:26:45,49.0
61,23.0,0:01:01,73.4,21.437,70.7,08/12/19 19:26:55,49.0
71,23.0,0:01:11,73.4,21.437,70.5866,08/12/19 19:27:05,49.0
81,23.0,0:01:21,73.4,21.5,70.7,08/12/19 19:27:15,49.0
91,22.0,0:01:31,71.6,21.5,70.7,08/12/19 19:27:25,47.0
101,22.0,0:01:41,71.6,21.5,70.7,08/12/19 19:27:35,47.0
111,22.0,0:01:51,71.6,21.5,70.7,08/12/19 19:27:45,47.0
121,20.0,0:02:01,68.0,21.5,70.8116,08/12/19 19:27:55,19.0
131,20.0,0:02:11,68.0,21.5,70.8116,08/12/19 19:28:05,19.0
141,20.0,0:02:21,68.0,21.5,70.8116,08/12/19 19:28:15,19.0
151,20.0,0:02:31,68.0,21.5,70.7,08/12/19 19:28:25,19.0
161,14.0,0:02:41,57.2,21.5,70.7,08/12/19 19:28:35,21.0
171,14.0,0:02:51,57.2,21.5,70.7,08/12/19 19:28:45,21.0
181,14.0,0:03:01,57.2,21.437,70.7,08/12/19 19:28:56,21.0
191,14.0,0:03:11,57.2,21.437,70.5866,08/12/19 19:29:05,21.0
201,14.0,0:03:21,57.2,21.375,70.475,08/12/19 19:29:15,21.0
211,14.0,0:03:31,57.2,21.375,70.475,08/12/19 19:29:25,21.0
221,14.0,0:03:41,57.2,21.312,70.36160000000001,08/12/19 19:29:35,21.0
231,14.0,0:03:51,57.2,21.25,70.25,08/12/19 19:29:45,21.0
241,14.0,0:04:01,57.2,21.187,70.1366,08/12/19 19:29:55,21.0
251,14.0,0:04:11,57.2,21.125,70.025,08/12/19 19:30:05,21.0
261,14.0,0:04:21,57.2,21.125,70.025,08/12/19 19:30:15,21.0
271,14.0,0:04:31,57.2,21.062,69.91159999999999,08/12/19 19:30:25,21.0
281,14.0,0:04:41,57.2,21.0,69.80000000000001,08/12/19 19:30:35,21.0
291,14.0,0:04:51,57.2,20.937,69.6866,08/12/19 19:30:45,21.0
301,14.0,0:05:01,57.2,20.875,69.575,08/12/19 19:30:55,21.0
311,3.0,0:05:11,37.4,20.812,69.4616,08/12/19 19:31:05,26.0
321,2.0,0:05:21,35.6,20.75,69.35,08/12/19 19:31:15,27.0
331,2.0,0:05:31,35.6,20.625,69.23660000000001,08/12/19 19:31:25,27.0
341,2.0,0:05:41,35.6,20.562,69.0116,08/12/19 19:31:35,27.0
351,1.0,0:05:51,33.8,20.5,68.9,08/12/19 19:31:45,27.0
362,1.0,0:06:02,33.8,20.5,68.9,08/12/19 19:31:56,27.0
372,1.0,0:06:12,33.8,20.375,68.78659999999999,08/12/19 19:32:06,27.0
382,1.0,0:06:22,33.8,20.375,68.67500000000001,08/12/19 19:32:16,27.0
392,1.0,0:06:32,33.8,20.312,68.45,08/12/19 19:32:26,27.0
402,1.0,0:06:42,33.8,20.25,68.45,08/12/19 19:32:36,27.0
412,1.0,0:06:52,33.8,20.187,68.3366,08/12/19 19:32:46,27.0
422,1.0,0:07:02,33.8,20.125,68.225,08/12/19 19:32:56,27.0
432,1.0,0:07:12,33.8,20.062,68.11160000000001,08/12/19 19:33:06,27.0
442,1.0,0:07:22,33.8,20.0,68.0,08/12/19 19:33:16,27.0
452,1.0,0:07:32,33.8,19.937,67.8866,08/12/19 19:33:26,27.0
462,1.0,0:07:42,33.8,19.875,67.775,08/12/19 19:33:36,27.0
472,1.0,0:07:52,33.8,19.812,67.66159999999999,08/12/19 19:33:46,27.0
482,1.0,0:08:02,33.8,19.75,67.4366,08/12/19 19:33:56,27.0
492,1.0,0:08:12,33.8,19.625,67.4366,08/12/19 19:34:06,27.0
502,1.0,0:08:22,33.8,19.562,67.2116,08/12/19 19:34:16,27.0
